HRV ANALYSIS RESULTS - 03-Apr-2025 22:41:42
Kubios HRV Premium
3.5.0
released in May 2021

Analyzed by:  -  - 

File name: E:\Anna\Sleep\2025-04-01_15.55.15_E_T_20_09_11_SD_Session1\E_T_20_09_11_Session1_sleep_1_Calibrated_SD.csv
Measurement date:  
File type: asciiCUSTOMPPG
Channel label: RR data
Data length: 00:30:15 (h:min:s)
Measurement rate: - 

Parameters
 Number of samples: 6
 Detrending method: Smoothn priors (lambda: 500)
 Min/Max HR as average of: 5 beats
 Threshold for NNxx/pNNxx: 50 ms
 Frequency bands
  VLF: 0 - 0.04 Hz
  LF: 0.04 - 0.15 Hz
  HF: 0.15 - 0.4 Hz
 Interpolation rate: 4 Hz
 Points in frequency-domain: 300 points/Hz
 FFT spectrum options
  Window width: 300 s
  Window overlap: 50 %
 Use Lomb-Scargle periodogram instead of FFT: 0
 Lomb smoothing window: 0.02 Hz
 AR spectrum options
  AR model order: 16
  Use factorization: No
 Apply detrending for nonlinear analysis: 1
 Entropy, embedding dimension: 2
 Entropy, tolerance: 0.2 x SD
 DFA, short-term fluctuations: 4-12 beats
 DFA, long-term fluctuations: 13-64 beats
 RPA and D2, embedding dimension: 10
 RPA, threshold: 3.1623 x SD
 Time-varying options
  Window width: 300 s
  Grid interval: 60 s
  Spectrum estimation method: spectrogram

Performed Analysis
 Standard analysis: Yes
 Time-varying analysis: Yes

RR Interval Samples Selected for Analysis
                              ,    Sample 1,    Sample 2,    Sample 3,    Sample 4,    Sample 5,    Sample 6,
  Sample limits (hh:mm:ss):   ,00:00:00-00:05:00,00:05:00-00:10:00,00:10:00-00:15:00,00:15:00-00:20:00,00:20:00-00:25:00,00:25:01-00:30:01,
  Sample Analysis Type: Single samples
  Beat correction: Automatic correction
  Beats total:                ,         442,         437,         430,         433,         424,         421,
  Beats corrected:            ,           3,           0,           2,           0,           1,           2,
  Beats corrected (%):        ,       0.679,           0,       0.465,           0,       0.236,       0.475,
  Effective data length (s):  ,         300,         300,         300,         300,         300,         300,
  Effective data length (%):  ,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,


RESULTS FOR SINGLE SAMPLES
STANDARD RESULTS
                              ,    SAMPLE 1,            ,    SAMPLE 2,            ,    SAMPLE 3,            ,    SAMPLE 4,            ,    SAMPLE 5,            ,    SAMPLE 6,            ,
Results Overview              ,
  PNS index:                  ,     -1.9948,            ,     -1.9183,            ,     -1.9545,            ,     -1.8894,            ,     -1.7773,            ,     -1.7783,            ,
  SNS index:                  ,      3.3769,            ,      3.0598,            ,      2.4994,            ,      2.2573,            ,      2.3073,            ,      2.2759,            ,
  Stress index:               ,     20.5725,            ,     19.4273,            ,     16.1685,            ,     14.3616,            ,     15.6973,            ,     15.6358,            ,

Time-Domain Results           ,
 Statistical parameters       ,
  Mean RR  (ms):              ,    669.7848,            ,    686.7514,            ,    698.3054,            ,    692.1077,            ,    709.5635,            ,    713.8281,            ,
  SDNN (ms):                  ,     21.7417,            ,     23.1294,            ,     24.9716,            ,     29.8474,            ,     28.0524,            ,     28.7907,            ,
  Mean HR (beats/min):        ,     89.5810,            ,     87.3679,            ,     85.9223,            ,     86.6917,            ,     84.5590,            ,     84.0539,            ,
  SD HR (beats/min):          ,      2.9208,            ,      2.9308,            ,      3.1437,            ,      3.7510,            ,      3.4050,            ,      3.4374,            ,
  Min HR (beats/min):         ,     80.9273,            ,     77.5366,            ,     79.1549,            ,     74.1492,            ,     76.4369,            ,     75.1836,            ,
  Max HR (beats/min):         ,     97.7099,            ,     96.4521,            ,     97.5238,            ,     97.2152,            ,     95.7606,            ,     98.3670,            ,
  RMSSD (ms):                 ,     13.9690,            ,     14.2229,            ,     12.5576,            ,     15.6824,            ,     16.1047,            ,     15.7447,            ,
  NNxx (beats):               ,           2,            ,           2,            ,           2,            ,           1,            ,           4,            ,           4,            ,
  pNNxx (%):                  ,      0.4535,            ,      0.4587,            ,      0.4662,            ,      0.2315,            ,      0.9456,            ,      0.9524,            ,
  SDANN (ms):                 ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,
  SDNN index (ms):            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,
 Geometric parameters         ,
  RR tri index:               ,    5.893333,            ,    5.750000,            ,    6.515152,            ,    6.661538,            ,    7.851852,            ,    7.796296,            ,
  TINN (ms):                  ,    105.0000,            ,    113.0000,            ,    117.0000,            ,    156.0000,            ,    135.0000,            ,    140.0000,            ,
  DC (ms):                    ,      6.4103,            ,     10.0984,            ,      9.1740,            ,     11.3027,            ,     10.1248,            ,     12.2325,            ,
  DCmod (ms):                 ,     12.6640,            ,     13.9632,            ,     10.9477,            ,     13.4924,            ,     14.1918,            ,     14.5955,            ,
  AC (ms):                    ,    -11.6889,            ,    -12.1865,            ,    -11.6080,            ,    -18.1009,            ,    -16.4638,            ,    -17.3666,            ,
  ACmod (ms):                 ,    -16.8504,            ,    -15.9369,            ,    -13.4138,            ,    -19.5518,            ,    -18.8105,            ,    -19.4490,            ,

Frequency-Domain Results      ,FFT spectrum, AR spectrum,FFT spectrum, AR spectrum,FFT spectrum, AR spectrum,FFT spectrum, AR spectrum,FFT spectrum, AR spectrum,FFT spectrum, AR spectrum,
 Peak frequencies             ,
  VLF (Hz):                   ,    0.040000,    0.040000,    0.030000,    0.040000,    0.040000,    0.040000,    0.040000,    0.040000,    0.023333,    0.040000,    0.033333,    0.040000,
  LF (Hz):                    ,    0.083333,    0.080000,    0.093333,    0.086667,    0.080000,    0.083333,    0.063333,    0.076667,    0.056667,    0.090000,    0.063333,    0.080000,
  HF (Hz):                    ,    0.163333,    0.150000,    0.166667,    0.150000,    0.210000,    0.150000,    0.193333,    0.150000,    0.153333,    0.150000,    0.160000,    0.150000,
 Absolute powers              ,
  VLF (ms^2):                 ,     24.3200,     57.0351,     27.1013,     50.4980,     38.3040,     50.3055,     55.6326,     79.4905,     54.8826,     56.8603,     55.3478,     89.6298,
  LF (ms^2):                  ,    300.5301,    342.7460,    390.9645,    392.5617,    453.2973,    504.5603,    880.7853,    695.1118,    357.5820,    630.5747,    822.0128,    626.8955,
  HF (ms^2):                  ,     58.4622,     51.6237,     77.3345,     62.2585,     47.3967,     40.6268,     96.5911,     87.8463,     85.1478,     78.9929,    110.6239,     80.3392,
  VLF (log):                  ,      3.1913,      4.0437,      3.2996,      3.9219,      3.6456,      3.9181,      4.0188,      4.3756,      4.0052,      4.0406,      4.0136,      4.4957,
  LF (log):                   ,      5.7055,      5.8370,      5.9686,      5.9727,      6.1165,      6.2237,      6.7808,      6.5441,      5.8794,      6.4466,      6.7118,      6.4408,
  HF (log):                   ,      4.0684,      3.9440,      4.3481,      4.1313,      3.8586,      3.7044,      4.5705,      4.4756,      4.4444,      4.3694,      4.7061,      4.3863,
 Relative powers              ,
  VLF (%):                    ,      6.3412,     12.6322,      5.4703,      9.9919,      7.1057,      8.4471,      5.3853,      9.2161,     11.0290,      7.4182,      5.6016,     11.2462,
  LF (%):                     ,     78.3607,     75.9118,     78.9146,     77.6748,     84.0899,     84.7235,     85.2607,     80.5906,     71.8586,     82.2670,     83.1941,     78.6589,
  HF (%):                     ,     15.2435,     11.4337,     15.6097,     12.3189,      8.7924,      6.8219,      9.3501,     10.1848,     17.1110,     10.3057,     11.1960,     10.0805,
 Normalized powers            ,
  LF (n.u.):                  ,     83.6661,     86.8876,     83.4813,     86.2975,     90.5221,     92.5405,     90.1135,     88.7719,     80.7664,     88.8588,     88.1309,     88.6259,
  HF (n.u.):                  ,     16.2756,     13.0868,     16.5130,     13.6864,      9.4650,      7.4513,      9.8823,     11.2187,     19.2322,     11.1315,     11.8604,     11.3578,
 Total power (ms^2):          ,    383.5216,    451.5057,    495.4273,    505.3915,    539.0627,    595.5374,   1033.0500,    862.5217,    497.6190,    766.4974,    988.0663,    796.9802,
 LF/HF ratio:                 ,      5.1406,      6.6393,      5.0555,      6.3053,      9.5639,     12.4194,      9.1187,      7.9128,      4.1995,      7.9827,      7.4307,      7.8031,
 RESP (Hz):                   ,    0.267874,            ,    0.242666,            ,    0.190561,            ,    0.211414,            ,    0.243589,            ,    0.245110,            ,

Nonlinear Results             ,
 Poincare plot                ,
  SD1 (ms):                   ,    9.888791,            ,   10.068689,            ,    8.889978,            ,   11.102382,            ,   11.401380,            ,   11.146952,            ,
  SD2 (ms):                   ,   29.113405,            ,   31.126614,            ,   34.205144,            ,   40.693600,            ,   37.956364,            ,   39.111207,            ,
  SD2/SD1 ratio:              ,    2.944082,            ,    3.091427,            ,    3.847607,            ,    3.665303,            ,    3.329103,            ,    3.508691,            ,
 Approximate entropy (ApEn):  ,      1.2188,            ,      1.1348,            ,      1.0475,            ,      1.1352,            ,      1.1407,            ,      1.0427,            ,
 Sample entropy (SampEn):     ,      1.5105,            ,      1.3757,            ,      1.0718,            ,      1.2753,            ,      1.3637,            ,      1.1876,            ,
 Detrended fluctuation analysis (DFA),
  alpha 1:                    ,      1.5286,            ,      1.5571,            ,      1.6771,            ,      1.4599,            ,      1.5929,            ,      1.5383,            ,
  alpha 2:                    ,      0.4832,            ,      0.4428,            ,      0.4008,            ,      0.3995,            ,      0.3802,            ,      0.4186,            ,
 Correlation dimension (D2):  ,      0.2593,            ,      0.3238,            ,      0.6231,            ,      0.6385,            ,      0.6070,            ,      0.9051,            ,
 Recurrence plot analysis (RPA),
  Mean line length (beats):   ,     10.4698,            ,     12.3585,            ,     11.7139,            ,     13.3328,            ,     10.9929,            ,     10.4892,            ,
  Max line length (beats):    ,         319,            ,         205,            ,         292,            ,         246,            ,         414,            ,         219,            ,
  Recurrence rate (REC) (%):  ,     30.8050,            ,     34.0172,            ,     34.7448,            ,     37.1740,            ,     32.8291,            ,     31.3048,            ,
  Determinism (DET) (%):      ,     98.3240,            ,     98.9248,            ,     99.3310,            ,     99.1531,            ,     98.8857,            ,     98.9348,            ,
  Shannon entropy:            ,      3.1504,            ,      3.3440,            ,      3.2904,            ,      3.4169,            ,      3.2122,            ,      3.1586,            ,
 Multiscale entropy (MSE for scales 1-20),
  MSE(1):                     ,      1.5105,            ,      1.3757,            ,      1.0718,            ,      1.2753,            ,      1.3637,            ,      1.1876,            ,
  MSE(2):                     ,      1.6816,            ,      1.5660,            ,      1.1033,            ,      1.7322,            ,      1.6537,            ,      1.4675,            ,
  MSE(3):                     ,      1.9736,            ,      1.8435,            ,      1.3103,            ,      1.8346,            ,      2.2680,            ,      2.2819,            ,
  MSE(4):                     ,      1.6302,            ,      1.4152,            ,      1.6418,            ,      1.5394,            ,      1.6969,            ,      1.9956,            ,
  MSE(5):                     ,      1.5708,            ,      1.7149,            ,      1.6811,            ,      2.2048,            ,      2.0235,            ,      2.0188,            ,
  MSE(6):                     ,      2.1238,            ,      1.7932,            ,      1.6389,            ,      1.7799,            ,      1.8535,            ,      1.6526,            ,
  MSE(7):                     ,      2.0877,            ,      1.3747,            ,      1.6193,            ,      1.5197,            ,      1.8957,            ,      1.6575,            ,
  MSE(8):                     ,      2.0167,            ,      1.3118,            ,      1.6351,            ,      1.6536,            ,      1.7713,            ,      1.3214,            ,
  MSE(9):                     ,      1.5893,            ,      1.0179,            ,      2.0355,            ,      1.7301,            ,      1.0981,            ,      1.5892,            ,
  MSE(10):                    ,      1.4288,            ,      0.8443,            ,      1.0710,            ,      1.1093,            ,      1.6246,            ,      1.1233,            ,
  MSE(11):                    ,      1.4521,            ,      0.7538,            ,      0.9998,            ,      1.9391,            ,      1.7644,            ,      1.9376,            ,
  MSE(12):                    ,      1.9789,            ,      1.1316,            ,      1.2396,            ,      1.6003,            ,      1.3266,            ,      0.9764,            ,
  MSE(13):                    ,      0.7202,            ,      1.2910,            ,      1.2715,            ,      1.5741,            ,      1.5439,            ,      1.1240,            ,
  MSE(14):                    ,      1.2052,            ,      0.7484,            ,      0.7973,            ,      1.0825,            ,      1.1826,            ,      0.8896,            ,
  MSE(15):                    ,      1.1059,            ,      0.8281,            ,      0.9178,            ,      0.9361,            ,      1.0484,            ,      1.1975,            ,
  MSE(16):                    ,      0.9894,            ,      0.5325,            ,      1.5278,            ,      1.1178,            ,      0.6375,            ,      0.9888,            ,
  MSE(17):                    ,      1.0758,            ,      1.0135,            ,      1.2142,            ,      0.9758,            ,      0.6966,            ,      1.2104,            ,
  MSE(18):                    ,      0.8725,            ,      0.8021,            ,      0.5536,            ,      1.0097,            ,      0.6291,            ,      1.0701,            ,
  MSE(19):                    ,      0.8878,            ,      0.8233,            ,      0.6421,            ,      0.6090,            ,      0.8978,            ,      0.9671,            ,
  MSE(20):                    ,      0.5956,            ,      0.4823,            ,      0.6959,            ,      0.9960,            ,      0.9219,            ,      0.9029,            ,


TIME-VARYING RESULTS          ,
                              ,  WHOLE DATA,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,
