HRV ANALYSIS RESULTS - 03-Apr-2025 22:46:59
Kubios HRV Premium
3.5.0
released in May 2021

Analyzed by:  -  - 

File name: E:\Anna\Sleep\2025-04-02_14.21.11_sleep_2_SD_Session1\sleep_2_Session1_Shimmer_FBA9_Calibrated_SD.csv
Measurement date:  
File type: asciiCUSTOMPPG
Channel label: RR data
Data length: 00:30:04 (h:min:s)
Measurement rate: - 

Parameters
 Number of samples: 6
 Detrending method: Smoothn priors (lambda: 500)
 Min/Max HR as average of: 5 beats
 Threshold for NNxx/pNNxx: 50 ms
 Frequency bands
  VLF: 0 - 0.04 Hz
  LF: 0.04 - 0.15 Hz
  HF: 0.15 - 0.4 Hz
 Interpolation rate: 4 Hz
 Points in frequency-domain: 300 points/Hz
 FFT spectrum options
  Window width: 300 s
  Window overlap: 50 %
 Use Lomb-Scargle periodogram instead of FFT: 0
 Lomb smoothing window: 0.02 Hz
 AR spectrum options
  AR model order: 16
  Use factorization: No
 Apply detrending for nonlinear analysis: 1
 Entropy, embedding dimension: 2
 Entropy, tolerance: 0.2 x SD
 DFA, short-term fluctuations: 4-12 beats
 DFA, long-term fluctuations: 13-64 beats
 RPA and D2, embedding dimension: 10
 RPA, threshold: 3.1623 x SD
 Time-varying options
  Window width: 300 s
  Grid interval: 60 s
  Spectrum estimation method: spectrogram

Performed Analysis
 Standard analysis: Yes
 Time-varying analysis: Yes

RR Interval Samples Selected for Analysis
                              ,    Sample 1,    Sample 2,    Sample 3,    Sample 4,    Sample 5,    Sample 6,
  Sample limits (hh:mm:ss):   ,00:00:03-00:05:03,00:05:03-00:10:03,00:10:03-00:15:03,00:15:03-00:20:03,00:20:03-00:25:03,00:25:03-00:30:03,
  Sample Analysis Type: Single samples
  Beat correction: Automatic correction
  Beats total:                ,         394,         388,         405,         395,         385,         381,
  Beats corrected:            ,           8,           7,           6,           4,           5,           5,
  Beats corrected (%):        ,        2.03,         1.8,        1.48,        1.01,         1.3,        1.31,
  Effective data length (s):  ,         294,         296,         300,         296,         295,         294,
  Effective data length (%):  ,       97.99,       98.66,      100.00,       98.67,       98.33,       97.97,


RESULTS FOR SINGLE SAMPLES
STANDARD RESULTS
                              ,    SAMPLE 1,            ,    SAMPLE 2,            ,    SAMPLE 3,            ,    SAMPLE 4,            ,    SAMPLE 5,            ,    SAMPLE 6,            ,
Results Overview              ,
  PNS index:                  ,     -1.5053,            ,     -1.5285,            ,     -1.6420,            ,     -1.6133,            ,     -1.5334,            ,     -1.5012,            ,
  SNS index:                  ,      2.1264,            ,      2.1525,            ,      1.9641,            ,      1.7016,            ,      1.9252,            ,      1.3916,            ,
  Stress index:               ,     16.4792,            ,     17.2467,            ,     15.2742,            ,     13.7432,            ,     15.6506,            ,     11.8876,            ,

Time-Domain Results           ,
 Statistical parameters       ,
  Mean RR  (ms):              ,    743.2640,            ,    759.4750,            ,    743.1381,            ,    749.7033,            ,    762.3697,            ,    759.9245,            ,
  SDNN (ms):                  ,     25.9368,            ,     23.2151,            ,     22.0029,            ,     25.2388,            ,     28.7896,            ,     40.1051,            ,
  Mean HR (beats/min):        ,     80.7250,            ,     79.0019,            ,     80.7387,            ,     80.0317,            ,     78.7020,            ,     78.9552,            ,
  SD HR (beats/min):          ,      2.8977,            ,      2.4493,            ,      2.4450,            ,      2.7287,            ,      3.0336,            ,      4.2800,            ,
  Min HR (beats/min):         ,     74.0598,            ,     73.4752,            ,     75.0550,            ,     70.1050,            ,     71.3755,            ,     68.2818,            ,
  Max HR (beats/min):         ,     98.1783,            ,     87.7714,            ,     90.0088,            ,     90.9145,            ,     86.8533,            ,     92.1139,            ,
  RMSSD (ms):                 ,     18.4457,            ,     15.4901,            ,     14.2988,            ,     15.0492,            ,     16.3249,            ,     19.2753,            ,
  NNxx (beats):               ,           6,            ,           3,            ,           0,            ,           0,            ,           3,            ,           9,            ,
  pNNxx (%):                  ,      1.5267,            ,      0.7752,            ,      0.0000,            ,      0.0000,            ,      0.7812,            ,      2.3684,            ,
  SDANN (ms):                 ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,
  SDNN index (ms):            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,
 Geometric parameters         ,
  RR tri index:               ,    6.912281,            ,    6.466667,            ,    5.625000,            ,    6.583333,            ,    7.264151,            ,   10.885714,            ,
  TINN (ms):                  ,    117.0000,            ,    122.0000,            ,    115.0000,            ,    136.0000,            ,    136.0000,            ,    191.0000,            ,
  DC (ms):                    ,      9.5829,            ,     10.1094,            ,      8.4991,            ,     10.9040,            ,     13.1053,            ,     21.4698,            ,
  DCmod (ms):                 ,     17.5405,            ,     14.4733,            ,     12.5183,            ,     13.6609,            ,     14.9858,            ,     19.3393,            ,
  AC (ms):                    ,    -14.0637,            ,    -12.5766,            ,    -11.3383,            ,    -13.4770,            ,    -12.0678,            ,    -19.0529,            ,
  ACmod (ms):                 ,    -21.3420,            ,    -17.5875,            ,    -16.1926,            ,    -16.6314,            ,    -16.1301,            ,    -21.4930,            ,

Frequency-Domain Results      ,FFT spectrum, AR spectrum,FFT spectrum, AR spectrum,FFT spectrum, AR spectrum,FFT spectrum, AR spectrum,FFT spectrum, AR spectrum,FFT spectrum, AR spectrum,
 Peak frequencies             ,
  VLF (Hz):                   ,    0.026667,    0.040000,    0.030000,    0.040000,    0.020000,    0.040000,    0.033333,    0.040000,    0.036667,    0.040000,    0.040000,    0.040000,
  LF (Hz):                    ,    0.063333,    0.080000,    0.070000,    0.080000,    0.063333,    0.080000,    0.076667,    0.083333,    0.070000,    0.083333,    0.066667,    0.073333,
  HF (Hz):                    ,    0.150000,    0.150000,    0.270000,    0.150000,    0.303333,    0.150000,    0.210000,    0.150000,    0.220000,    0.150000,    0.200000,    0.150000,
 Absolute powers              ,
  VLF (ms^2):                 ,     57.6612,     89.6598,     34.8075,     54.1423,     10.9790,     45.6262,     21.6169,     56.5512,     63.3935,     75.9582,     99.9056,    143.4424,
  LF (ms^2):                  ,    602.4005,    418.0700,    595.5288,    371.9429,    327.9374,    333.6277,    369.3286,    482.8074,    847.5978,    625.6053,   2225.1983,   1325.6720,
  HF (ms^2):                  ,     85.6772,     80.4802,     56.1617,     74.5054,     63.7119,     70.5236,     50.3892,     72.6698,    105.6801,     84.5961,    102.7721,     92.2758,
  VLF (log):                  ,      4.0546,      4.4960,      3.5498,      3.9916,      2.3960,      3.8205,      3.0735,      4.0351,      4.1494,      4.3302,      4.6042,      4.9659,
  LF (log):                   ,      6.4009,      6.0356,      6.3894,      5.9187,      5.7928,      5.8100,      5.9117,      6.1796,      6.7424,      6.4387,      7.7076,      7.1897,
  HF (log):                   ,      4.4506,      4.3880,      4.0282,      4.3109,      4.1544,      4.2559,      3.9198,      4.2859,      4.6604,      4.4379,      4.6325,      4.5248,
 Relative powers              ,
  VLF (%):                    ,      7.7299,     15.2373,      5.0695,     10.8142,      2.7266,     10.1428,      4.8968,      9.2388,      6.2352,      9.6611,      4.1147,      9.1863,
  LF (%):                     ,     80.7557,     71.0492,     86.7353,     74.2909,     81.4419,     74.1662,     83.6627,     78.8763,     83.3670,     79.5709,     91.6472,     84.8985,
  HF (%):                     ,     11.4856,     13.6773,      8.1796,     14.8815,     15.8226,     15.6776,     11.4145,     11.8721,     10.3944,     10.7598,      4.2328,      5.9095,
 Normalized powers            ,
  LF (n.u.):                  ,     87.5210,     83.8212,     91.3671,     83.2990,     83.7248,     82.5378,     87.9704,     86.9053,     88.9108,     88.0805,     95.5801,     93.4865,
